code;name;registered;envelopes;votes;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVÃDN… SPOLE»NOSTI;Dobr· volba 2016;DÏlnic.str.soci·lnÌ spravedl.;Komunistick· str.»ech a Moravy;K¯esù.demokr.unie-»s.str.lid.;ObËansk· demokratick· aliance;ObËansk· demokratick· strana;REALIST…;ROZUMNÕ-stop migraci,dikt·t.EU;RadostnÈ »esko;Referendum o EvropskÈ unii;SPORTOVCI;SPR-Republ.str.»sl. M.Sl·dka;STAROSTOV… A NEZ¡VISLÕ;Strana Pr·v ObËan˘;Strana svobodn˝ch obËan˘;Strana zelen˝ch;Svob.a p¯.dem.-T.Okamura (SPD);TOP 09;Unie H.A.V.E.L.;»esk· pir·tsk· strana;»esk· str.soci·lnÏ demokrat.;»esk· strana n·rodnÏ soci·lnÌ;ÿ·d n·roda - Vlasteneck· unie
530441;Po¯ÌËÌ nad S·zavou;987;671;669;211;0;0;2;0;24;20;0;102;2;3;0;1;2;0;63;3;9;7;69;54;0;51;46;0;0
530450;Postupice;1030;662;653;255;0;0;0;2;42;20;0;68;10;3;2;2;1;0;70;3;4;7;41;17;0;76;30;0;0
530476;PravonÌn;447;290;289;95;0;0;0;0;30;11;0;26;6;0;0;0;0;0;22;0;9;2;34;6;0;29;19;0;0
530492;P¯estavlky u »erËan;296;222;221;82;0;0;0;1;10;7;0;39;0;4;0;0;0;0;10;1;1;2;10;15;1;24;13;0;1
530514;Ps·¯e;113;69;69;13;0;0;0;0;7;6;0;10;0;0;0;0;1;0;7;0;1;1;8;3;0;7;5;0;0
538680;Pyöely;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
530522;RabynÏ;235;168;168;41;0;0;0;0;11;8;0;38;0;2;0;0;0;0;11;3;1;0;15;9;0;19;9;0;1
530531;Radoöovice;296;184;183;38;0;0;0;0;16;33;0;19;1;2;0;0;1;0;20;0;6;0;11;10;1;16;8;0;1
530549;Rataje;140;104;104;28;0;0;0;0;11;12;0;8;0;2;0;0;0;0;10;0;0;2;12;3;0;6;10;0;0
532550;RatmÏ¯ice;238;156;155;41;0;0;0;3;10;4;0;18;1;0;1;0;0;0;35;0;1;2;10;12;0;10;7;0;0
538710;ÿehenice;366;252;252;69;0;0;0;0;8;4;0;34;1;4;0;1;0;0;26;0;2;2;17;20;1;48;15;0;0
532941;ÿimovice;180;108;108;27;0;0;0;0;10;9;0;7;0;1;0;0;0;0;8;0;1;1;15;6;0;18;5;0;0
534382;S·zava;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
532231;SlovÏnice;31;22;22;8;0;0;0;0;3;2;0;3;0;0;0;0;0;0;0;0;0;0;4;0;0;1;1;0;0
530611;Smilkov;231;146;144;62;0;0;0;0;17;10;0;3;0;1;0;0;0;0;14;0;0;1;12;1;0;8;15;0;0
532436;SnÏt;89;64;64;21;0;0;0;0;1;8;0;11;0;0;0;0;0;0;2;0;0;0;6;1;0;11;3;0;0
530638;SobÏhrdy;319;227;225;74;2;0;0;1;12;9;0;23;2;1;0;0;1;0;24;0;2;2;16;14;0;25;17;0;0
599387;Soutice;219;146;146;70;0;0;0;0;8;4;0;6;0;1;0;0;3;0;11;0;4;1;14;2;0;8;14;0;0
599379;Strann˝;82;51;51;13;0;0;0;0;6;0;0;6;1;0;0;0;0;0;5;1;0;0;3;5;0;4;7;0;0
599361;Strojetice;103;77;76;23;0;0;0;0;10;3;0;1;1;2;0;0;0;1;7;0;1;1;6;4;0;8;8;0;0
530689;Struha¯ov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
530701;St¯ezimÌ¯;263;174;174;76;0;0;0;0;12;7;0;12;0;2;0;0;0;0;17;0;6;1;18;1;0;16;5;1;0
530719;Studen˝;82;54;54;18;0;0;1;0;7;5;0;8;0;0;0;0;0;0;8;0;0;0;1;0;0;2;3;0;1
532509;äetÏjovice;48;38;38;15;0;0;0;0;1;5;0;3;0;0;0;0;0;0;4;0;0;0;4;1;0;1;4;0;0
530751;Tehov;249;165;165;56;0;0;0;0;15;7;0;3;1;2;0;0;0;0;13;1;0;1;26;8;0;11;21;0;0
530760;Tepl˝öovice;383;289;288;96;0;0;0;0;17;24;0;22;3;2;0;1;0;1;41;0;3;6;17;4;0;26;25;0;0
530778;Tichonice;179;137;137;50;1;0;0;0;9;2;0;16;0;0;0;0;6;0;5;0;5;0;13;5;1;10;14;0;0
532592;Tisem;184;128;128;42;0;0;0;0;7;3;0;8;0;0;0;0;0;0;12;0;1;3;19;6;0;12;15;0;0
532541;Tomice;105;75;75;26;1;0;0;1;8;13;0;4;0;0;0;0;0;0;2;0;2;0;12;0;0;2;4;0;0
530816;Trhov˝ ätÏp·nov;1029;643;634;217;0;1;0;2;40;45;0;62;6;7;0;0;1;2;48;0;6;5;66;25;0;59;42;0;0
532304;T¯ebeöice;82;68;68;14;0;0;0;0;5;2;0;13;0;0;0;0;0;0;8;0;1;1;3;3;0;15;3;0;0
530841;T˝nec nad S·zavou;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
532061;V·clavice;455;290;289;85;0;0;0;2;12;10;0;30;4;1;0;1;1;1;41;3;13;0;21;5;0;32;27;0;0
530867;Veliö;270;189;189;71;0;0;0;0;15;23;1;9;0;2;0;0;2;1;16;0;1;0;25;8;0;6;9;0;0
530883;Vlaöim;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
532614;Vodslivy;84;43;43;10;1;0;0;1;0;5;0;5;0;1;0;0;0;0;1;0;2;0;8;2;0;4;3;0;0
530891;Vojkov;427;250;249;90;0;1;1;0;23;14;0;21;3;1;1;0;0;0;15;0;1;2;16;7;0;27;23;2;1
530905;Votice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
530913;Vracovice;326;201;199;67;0;0;3;0;9;22;0;14;0;3;0;0;1;0;15;0;6;0;12;10;0;22;14;0;1
530921;Vranov;332;244;244;80;1;0;1;0;21;14;1;29;0;1;0;1;0;0;26;0;3;2;11;14;0;28;11;0;0
530948;Vrchotovy Janovice;785;492;488;174;1;0;0;1;38;12;1;24;3;6;0;0;1;2;49;1;3;7;52;19;0;54;39;0;1
532266;Vöechlapy;84;65;64;11;0;0;0;0;5;1;0;17;0;0;0;0;0;0;6;0;0;0;6;7;0;7;4;0;0
513482;Vysok˝ ⁄jezd;163;113;113;30;1;0;0;1;12;2;0;20;8;5;0;0;0;0;1;0;4;3;4;8;0;3;11;0;0
571415;Xaverov;49;36;36;3;0;0;0;0;4;4;0;3;0;0;0;0;0;0;10;0;0;0;1;0;0;5;6;0;0
531022;Zdislavice;462;320;318;120;0;0;0;1;34;24;0;18;6;1;0;0;0;0;25;0;7;2;22;10;0;24;23;0;1
531049;ZvÏstov;303;178;178;65;0;0;0;0;6;10;0;20;1;2;0;0;0;0;21;1;4;1;15;6;0;10;16;0;0
